,en,es,fr,id,jp,th,vi,zh,tr
DefinedClockOutTime,Scheduled Clock-out Time,Tiempo programado de tiempo,Temps d'horloge planifié,Jadwal Jam Keluar,予定退勤時間,เวลานาฬิกาตามกำหนดเวลา,Thời gian tan làm theo lịch trình,表定下班時間,Planlanmış Çıkış Saati
Delete,Delete,Borrar,Supprimer,Hapus,削除,ลบ,Xóa,刪除,Silmek
DeletePhoto,Delete Photo,Borrar foto,Supprimer la photo,Hapus Foto,写真削除,ลบรูปภาพ,Xóa ảnh,刪除照片,Fotoğrafı Sil
Department,Department,Departamento,Département,Departemen,部門,แผนก,Phòng ban,部門,Departman
Deselect,Deselect,Deseleccionar,Désélectionner,Batalkan pilihan,選択解除,ยกเลิกการเลือก,Bỏ chọn,移除選擇,Seçimi kaldır
DeviceGroup,Video Device Groups,Grupos de dispositivos de video,Groupes d'appareils vidéo,Grup Perangkat Video,ビデオデバイスグループ,กลุ่มอุปกรณ์วิดีโอ,Nhóm thiết bị video,影像設備群組,Video Aygıt Grupları
DeviceName,Device Name,Nombre del dispositivo,Nom de l'appareil,Nama Perangkat,デバイス名,ชื่ออุปกรณ์,Tên thiết bị,設備名稱,Aygıt Adı
DeviceStatus,Device Status,Estado del dispositivo,Statut du périphérique,Status Perangkat,デバイスステータス,สถานะอุปกรณ์,Trạng thái thiết bị,設備狀態,Aygıt Durumu
DigitalOutput,Digital Output,Salida digital,Sortie numérique,Output Digital,デジタル出力,เอาต์พุตดิจิตอล,Đầu ra kỹ thuật số,輸出接點,Dijital Çıkış
DigitalSignage,Digital Signage,Señalización digital,Signalisation numérique,Tandatangan digital,サイネージ,ป้ายดิจิตอล,Bảng hiệu kỹ thuật số,數位看板,Dijital Tabela
Disable,Disable,Deshabilitar,Désactiver,Nonaktifkan,無効,ปิดการใช้งาน,Vô hiệu hóa,停用,Devre dışı bırakmak
DisableIntercom,Disable Intercom,Deshabilitar el intercomunicador,Désactiver l'interphone,Nonaktifkan Interkom,インターコム無効,ปิดการใช้งานอินเตอร์คอม,Tắt liên lạc nội bộ,停用,Intercom'u devre dışı bırak
DisableStranger,Disable Stranger Card,Desactivar la tarjeta de extraña,Désactiver la carte Stranger,Nonaktifkan Kartu Orang Asing,ストレンジャーカードを無効にする,ปิดใช้งานการ์ด Stranger,Vô hiệu hóa thẻ người lạ,停用陌生人卡,Yabancı Kartı Devre Dışı Bırak
DisplayAttribute,Displayed Information,Información mostrada,Informations affichées,Informasi yang Ditampilkan,表示する情報,ข้อมูลที่แสดง,Thông tin được hiển thị,顯示資訊,Görüntülenen Bilgiler
DisplayChart,Display chart,Gráfico de visualización,Graphique d'affichage,Tampilan Grafik,チャートを表示する,แสดงแผนภูมิ,Biểu đồ hiển thị,顯示圖表,Grafik görüntüle
DisplayGroup,Display Group,Grupo de visualización,Groupe d'affichage,Tampilan Grup,グループ,กลุ่มแสดง,Nhóm hiển thị,顯示群組,Görüntüleme Grubu
DisplayImage,Display Image,Mostrar imagen,Afficher l'image,Tampilan Gambar,画像,แสดงภาพ,Hình ảnh hiển thị,顯示圖片,Görüntüyü Göster
DisplayMode,Display Mode,Modo de visualización,Mode d'affichage,Mode Tampilan,ディスプレイモード,โหมดแสดงผล,Chế độ hiển thị,顯示模式,Görüntüleme Modu
DisplayPhoto,Photo for display,Foto para la pantalla,Photo pour l'affichage,Foto untuk ditampilkan,表示する写真,รูปภาพสำหรับการแสดงผล,Ảnh để trưng bày,顯示用的照片,Görüntülenecek fotoğraf
Displays,Boards,Paneles,Planches,Papan,ボード,บอร์ด,Bảng,看板,Panolar
Download,Download,Descargar,Télécharger,Download,ダウンロード,การดาวน์โหลด,Tải xuống,下載,İndirmek
DragSelect,Drag to select hours,Arrastra para seleccionar horas,Faites glisser pour sélectionner les heures,Tarik untuk memilih jam,ドラッグして時間を選択します,ลากเพื่อเลือกชั่วโมง,Kéo để chọn giờ,拖曳選擇時間,Saatleri seçmek için sürükleyin
Duration,Patrol time (second),Tiempo de patrulla (segundo),Temps de patrouille (deuxième),Waktu patroli (detik),時間,เวลาลาดตระเวน (วินาที),Thời gian tuần tra (giây),輪巡時間 (秒),Devriye süresi (saniye)
EditPerson,Edit Person,Editar persona,Modifier une personne,Ubah Orang,パーソンの編集,แก้ไขบุคคล,Chỉnh sửa người,編輯人員,Kişiyi Düzenle
EditVisitor,Edit Visitor,Editar visitante,Modifier le visiteur,Ubah Pengunjung,ビジターの編集,แก้ไขผู้เยี่ยมชม,Chỉnh sửa khách truy cập,編輯訪客,Ziyaretçiyi Düzenle
EffectivOn,Effective On,Efectivo sobre,Efficace sur,Efektif Pada,開始日,มีผลต่อ,Có hiệu lực trên,生效於,Etkili Üzerinde
EffectiveDate,Effective Date,Fecha efectiva,Date effective,Tanggal berlaku,発効日,วันที่มีผล,Ngày có hiệu lực,生效日期,Yürürlük Tarihi
EmailAddress,Email Address,Dirección de correo electrónico,Adresse e-mail,Alamat email,Emailアドレス,ที่อยู่อีเมล,Địa chỉ email,電子信箱,E-posta Adresi
Embedded,Embedded,Incorporado,Intégré,Tertanam,埋め込み,ที่ฝังอยู่,Đã nhúng,內嵌,Gömülü
Employee,Employee,Empleado,Employé,Karyawan,社員,พนักงาน,Người lao động,員工,Çalışan
Enable,Enable,Habilitar,Activer,Aktifkan,有効,เปิดใช้งาน,Cho phép,啟用,Olanak vermek
EnableIdCard,Enable Card Reader Access,Habilitar el acceso al lector de tarjetas,Activer l'accès au lecteur de carte,Aktifkan Akses Pembaca Kartu,カードリーダーアクセスを有効にする,เปิดใช้งานการเข้าถึงเครื่องอ่านการ์ด,Cho phép truy cập đầu đọc thẻ,啟用讀卡通行,Kart Okuyucu Erişimini Etkinleştir
EnableIdCardPassMode,Bypass Mode,Modo de derivación,Mode de contournement,Mode Bypass,バイパスモード,โหมดบายพาส,Chế độ bỏ qua,自由通行模式,Baypas Modu
EnableIn,In,En,Dans,Masuk,で,ใน,Trong,In,İçinde
EnableIntercom,Enable Intercom,Habilitar intercomunicador,Activer l'interphone,Aktifkan Interkom,インターコム有効,เปิดใช้งานอินเตอร์คอม,Bật liên lạc nội bộ,啟用,Intercom'u etkinleştir
EnableNonVerifiedMerge,Enable Non-Verified Merge,Habilitar combinación no verificada,Activer la fusion non vérifiée,Aktifkan Penggabungan Tidak Terverifikasi,未検証のマージを有効にする,เปิดใช้งานการรวมที่ไม่ได้รับการยืนยัน,Bật hợp nhất chưa được xác minh,啟用陌生人合併,Doğrulanmamış Birleştirmeyi Etkinleştir
EnableOut,Out,Afuera,Dehors,Keluar,外,ออก,Ngoài,Out,Dışarı
EnableOvertime,Count as overtime,Cuenta como tiempo extra,Compte comme des heures supplémentaires,Dihitung sebagai lembur,残業をカウントする,นับเป็นล่วงเวลา,Tính như tăng ca,計算加班,Fazla mesai olarak say
EnableStranger,Enable Stranger Card,Habilitar tarjeta de extraña,Activer la carte Stranger,Aktifkan Kartu Orang Asing,ストレンジャーカードを有効にする,เปิดใช้งานการ์ด Stranger,Kích hoạt thẻ người lạ,啟用陌生人卡,Yabancı Kartı Etkinleştir
EnableTwoFactorAuthentication,Two Factor Authentication,Autenticación de dos factores,Authentification à deux facteurs,Otentikasi Dua Faktor,2要素認証,การรับรองความถูกต้องสองปัจจัย,Xác thực hai yếu tố,啟用雙重認證,İki Faktörlü Kimlik Doğrulama
EnableVerifiedMerge,Enable Verified Merge,Habilitar combinación verificada,Activer la fusion vérifiée,Aktifkan Penggabungan Terverifikasi,検証済みマージを有効にする,เปิดใช้งานการรวมที่ได้รับการยืนยัน,Bật hợp nhất đã xác minh,啟用人員合併,Doğrulanmış Birleştirmeyi Etkinleştir
EnabledMask,Enabled Info Mask,Máscara de información habilitada,Masque d'informations activé,Info Masker Diaktifkan,非表示,เปิดใช้งานหน้ากากข้อมูล,Mặt nạ thông tin đã bật,人員資訊遮蔽,Etkinleştirilmiş Bilgi Maskesi
EndSignal,End Signal,Señal final,Signal final,Sinyal Akhir,終了信号,สัญญาณสิ้นสุด,Tín hiệu kết thúc,結束訊號,Son Sinyal
EnteredColor,Entered Color,Color entrado,Entré en couleur,Warna yang Dimasukkan,入室,ใส่สี,Màu đã nhập,已進入,Girilen Renk
EntryChannel,Entered,Ingresó,Entré,Masuk,入室,เข้าสู่,Đã nhập,已進入,Girildi
EthernetMode,Ethernet Mode,Modo Ethernet,Mode Ethernet,Mode Ethernet,イーサネットモード,โหมดอีเธอร์เน็ต,Chế độ Ethernet,區域網路模式,Ethernet Modu
EventControlManagement,Event Management,Gestión de eventos,Gestion d'événements,Manajemen Event,設定,การจัดการเหตุการณ์,Quản lý sự kiện,事件管理,Etkinlik Yönetimi
EventControlName,Event Control Name,Nombre de control de eventos,Nom de contrôle des événements,Nama Kontrol Event,イベント名,ชื่อควบคุมเหตุการณ์,Tên kiểm soát sự kiện,事件名稱,Olay Kontrol Adı
EventControlSettingsList,Settings List,Lista de configuración,Liste des paramètres,Daftar Pengaturan,設定リスト,รายการการตั้งค่า,Danh sách cài đặt,事件管理列表,Ayarlar Listesi
EventControlType,Event Type,Tipo de evento,Type d'événement,Jenis Event,タイプ,ประเภทเหตุการณ์,Loại sự kiện,事件類別,Etkinlik Türü
Events,Events,Eventos,Événements,Event,イベント,เหตุการณ์,Sự kiện,事件,Olaylar
Excluded,Excluded,Excluido,Exclu,Pengecualian,除外,ไม่รวม,Đã loại trừ,不列入,Hariç tutuldu
ExitChannel,Exited,Salido,Quitté,Keluar,退室,ทางออก,Đã thoát,已離開,Çıkıldı
ExitedColor,Exited Color,Color salido,Couleur,Warna Keluar,退室,สีออก,Màu đã thoát,已離開,Çıkılan Renk
ExpansionField,Expansion field,Campo de expansión,Champ d'expansion,Bidang ekspansi,拡張フィールド,สนามขยาย,Trường mở rộng,擴充欄位,Genişleme alanı
ExpireDate,Expiration Date,Fecha de Expiración,Date d'expiration,Tanggal jatuh tempo,有効期限,วันหมดอายุ,Ngày hết hạn,失效日期,Son kullanma tarihi
ExpireDays,Expiry date,Fecha de caducidad,Date d'expiration,Tanggal kadaluarsa,有効期限,วันหมดอายุ,Ngày hết hạn,到期日,Son kullanma tarihi
ExpireOn,Expire On,Vence en,Expire le,Kadaluarsa Aktif,満了日,หมดอายุ,Hết hạn vào ngày,失效於,Son Kullanma Tarihi
Export,Export,Exportar,Exporter,Ekspor,エクスポート,ส่งออก,Xuất,匯出,İhracat
ExportExcel,Export as Excel,Exportar como Excel,Exporter comme Excel,Ekspor sebagai Excel,Excelとしてエクスポート,ส่งออกเป็น Excel,Xuất dưới dạng Excel,匯出為 Excel,Excel olarak dışa aktar
ExportSetting,Export Settings,Configuración de exportación,Paramètres d'exportation,Pengaturan Ekspor,エクスポート設定,การตั้งค่าการส่งออก,Xuất cài đặt,匯出設定,Ayarları Dışa Aktar
Extend,Expand,Expandir,Développer,Perluas,展開,ขยาย,Mở rộng,展開,Genişletmek
ExtensionNumber,Extension Number,Número de extensión,Numéro de poste,Nomor ekstensi,内線番号,หมายเลขส่วนขยาย,Số máy nhánh,分機號碼,Uzatma Numarası
FaceDBSize,Number of faces,Número de caras,Nombre de visages,Jumlah wajah,顔数,จำนวนใบหน้า,Số lượng khuôn mặt,人臉數,Yüz sayısı
FaceDetectThreshold,Face Detection Threshold,Umbral de detección de la cara,Seuil de détection du visage,Ambang Batas Deteksi Wajah,顔検出のしきい値,เกณฑ์การตรวจจับใบหน้า,Ngưỡng nhận diện khuôn mặt,人臉檢測閾值,Yüz Algılama Eşiği
FaceMaskDetection,Masks are required to pass,Se requieren máscaras para pasar,Les masques sont nécessaires pour passer,Masker wajib untuk dilewati,通過にはマスク必須,ต้องใช้หน้ากากในการผ่าน,Yêu cầu đeo khẩu trang để đi qua,需要戴口罩才能通過,Geçmek için maske takmak zorunludur
FaceMaskEnhancement,Face Mask Enhancement,Mejora de la mascarilla,Amélioration du masque de visage,Peningkatan Masker Wajah,マスク認識強化,การปรับปรุงหน้ากากใบหน้า,Cải tiến mặt đeo khẩu trang,增強口罩辨識,Yüz Maskesi Geliştirme
FaceMinimumResolution,Minimum face resolution: 200x200 px,Resolución mínima de la cara: 200x200 px,Résolution minimum de la face : 200x200 px,Resolusi wajah minimum: 200x200 piksel,最小顔解像度：200x200 px,ความละเอียดใบหน้าขั้นต่ำ: 200x200 px,Độ phân giải khuôn mặt tối thiểu: 200x200 px,最小臉部尺寸: 200x200 px,Minimum yüz çözünürlüğü: 200x200 piksel
FaceVerifySettings,Recognition Parameters,Parámetros de reconocimiento,Paramètres de reconnaissance,Parameter Pengenalan,顔認識パラメータ,พารามิเตอร์การจดจำ,Thông số nhận dạng,辨識參數,Tanıma Parametreleri
FactoryDefault,Factory Default,Predeterminado de fábrica,Défaut de fabrication,Default Pabrik,初期化,ค่าเริ่มต้นจากโรงงาน,Mặc định của nhà máy,系統重設,Fabrika Varsayılanı
Fahrenheit,(°F),(° F),(° F),(°F),華氏 (°F),(° F),Độ F,(°F),(°F)
FailRecords,Faild Records,Registros de faild,Enregistrements FAILD,Catatan Gagal,失敗履歴,บันทึกความล้มเหลว,Bản ghi thất bại,失敗筆數,Başarısız Kayıtlar
Failed,Failed,Fallido,Échoué,Gagal,失敗,ล้มเหลว,Thất bại,失敗,Arızalı
FalseAlarm,False Alarm,Falsa alarma,Fausse alarme,Alarm Palsu,誤報,สัญญาณเตือนที่ผิดพลาด,Báo động sai,誤報,Yanlış alarm
FieldData,Field Data,Datos de campo,Données sur le terrain,Data lapangan,フィールド値,ข้อมูลภาคสนาม,Trường dữ liệu,欄位值,Saha Verileri
FieldKey,Field Key,Llave de campo,Clé de terrain,Kunci Bidang,フィールドキー,คีย์ฟิลด์,Khóa trường,欄位代碼,Alan Anahtarı
FieldName,Field Name,Nombre del campo,Nom de domaine,Nama Bidang,フィールド名,ชื่อฟิลด์,Tên trường,欄位名稱,Alan Adı
Fields,Fields,Campos,Des champs,bidang,フィールド,ทุ่งนา,Lĩnh vực,欄位,Alanlar
FileName,File Name :,Nombre del archivo :,Nom de fichier :,Nama file :,ファイル名 :,ชื่อไฟล์ :,Tên tập tin:,檔案名稱 :,Dosya adı :
FileType,File type,Tipo de archivo,Type de fichier,Jenis file,ファイルの種類,ประเภทไฟล์,Loại tệp,文件類型,Dosya türü
Files,Files,Archivos,Des dossiers,File,ファイル,ไฟล์,Các tập tin,檔案,Dosyalar
FinishBg,Finish Background,Terminar fondo,Terminer l'arrière-plan,Latar Belakang Selesai,背景の仕上げ,เสร็จสิ้นพื้นหลัง,Kết thúc nền,註冊成功 背景圖,Bitiş Arkaplanı
Font,Font,Fuente,Police de caractère,Huruf,フォント,แบบอักษร,Phông chữ,字體,Yazı tipi
FontSize,Font Size,Tamaño de fuente,Taille de police,Ukuran Huruf,フォントサイズ,ขนาดตัวอักษร,Cỡ chữ,字體大小,Yazı Tipi Boyutu
ForgetPasswordFooter,"If you are a regular user, kindly contact the administrator for assistance in changing your password.","Si es un usuario habitual, comuníquese con el administrador para obtener ayuda para cambiar su contraseña.","Si vous êtes un utilisateur régulier, veuillez contacter l'administrateur pour obtenir de l'aide pour modifier votre mot de passe.","Jika Anda adalah pengguna biasa, silakan hubungi administrator untuk bantuan dalam mengubah kata sandi Anda.",通常のユーザーの場合は、パスワードの変更について管理者に問い合わせてください。,หากคุณเป็นผู้ใช้ทั่วไป โปรดติดต่อผู้ดูแลระบบเพื่อขอความช่วยเหลือในการเปลี่ยนรหัสผ่านของคุณ,"Nếu bạn là người dùng thường xuyên, vui lòng liên hệ với quản trị viên để được hỗ trợ thay đổi mật khẩu.",若您屬一般使用者身份，敬請聯絡系統管理員協助進行密碼更改。,"Eğer düzenli bir kullanıcı iseniz, şifrenizi değiştirme konusunda yardım için lütfen yöneticiyle iletişime geçin."
ForgetPasswordSubTitle,Please use a valid license key to reset the administrator password.,Utilice una clave de licencia válida para restablecer la contraseña de administrador.,Veuillez utiliser une clé de licence valide pour réinitialiser le mot de passe administrateur.,Silakan gunakan kunci lisensi yang valid untuk reset kata sandi administrator.,有効なライセンス キーを使用して管理者パスワードをリセットしてください。,โปรดใช้รหัสลิขสิทธิ์ที่ถูกต้องเพื่อรีเซ็ตรหัสผ่านผู้ดูแลระบบ,Vui lòng sử dụng khóa cấp phép hợp lệ để đặt lại mật khẩu quản trị viên.,請遵循以下程序以使用有效的授權進行管理者密碼重置。,Yönetici şifresini sıfırlamak için lütfen geçerli bir lisans anahtarı kullanın.
ForgetPunchDate,Date,Fecha,Date,Tanggal,日付,วันที่,Ngày,日期,Tarih
ForgotAttendanceRecord,Forgot to clock in/clock out,Olvidé registrar/registrar fuera,J'ai oublié de s'allonger / horloger,Lupa jam masuk/jam keluar,出退勤の打刻漏れ,ลืมนาฬิกาใน/นาฬิกาออก,Quên bấm giờ vào/ra,忘記簽到/簽退,Giriş/çıkış yapmayı unuttum
ForgotPassword,Forget password,Contraseña olvidada,Mot de passe oublié,Lupa Kata Sandi,パスワードを忘れた,ลืมรหัสผ่าน,Quên mật khẩu,忘記密碼,Şifremi unuttum
Fri,Fri,Vie,Ven,Jum,金,วันศุกร์,Thứ sáu,五,Cuma
GET,GET,CONSEGUIR,OBTENIR,GET,GET,รับ,LẤY,GET,ELDE ETMEK
Gateway,Default Gateway,Puerta de enlace predeterminada,Passerelle par défaut,Default Gateway,ゲートウェイ,เกตเวย์เริ่มต้น,Gateway mặc định,閘道,Varsayılan Ağ Geçidi
GeneralSettings,General Settings,Configuración general,réglages généraux,Pengaturan Umum,一般設定,การตั้งค่าทั่วไป,Cài đặt chung,一般設定,Genel Ayarlar
GenerateBackup,Generate Backup,Generar copias de seguridad,Générer une sauvegarde,Aktifkan Backup,バックアップ,สร้างการสำรองข้อมูล,Tạo bản sao lưu,產生備份檔,Yedekleme Oluştur
GeneratedQrcode,QR Code,Código QR,QR Code,Kode QR,QRコード,คิวอาร์โค้ด,Mã QR,二維碼,QR Kodu
GoBack,Back,Volver,Dos,Kembali,戻る,กลับ,Quay lại,返回,Geri
GoodRecords,Normal,Normal,Normale,Normal,正常,ปกติ,Bình thường,正常,Normal
Greeting,Greeting,Saludo,Salutation,Salam,挨拶,การทักทาย,Lời chào,問候語,Selamlama
GreetingMode,Greeting Mode,Modo de saludo,Mode d'accueil,Mode Salam,挨拶モード,โหมดอวยพร,Chế độ chào hỏi,問候語模式,Selamlama Modu
Group,Group,Grupo,Groupe,Grup,グループ,กลุ่ม,Nhóm,群組,Grup
GroupName,Group Name,Nombre del grupo,Nom de groupe,Nama Grup,グループ名,ชื่อกลุ่ม,Tên nhóm,群組名稱,Grup Adı
GroupPersonList,Group Person List,Lista de personas grupales,Liste des personnes de groupe,Daftar Grup,グループパーソンリスト,รายชื่อบุคคลกลุ่ม,Danh sách nhóm người,群組人員,Grup Kişi Listesi
GroupToApply,Apply to Group,Aplicar al grupo,Postuler au groupe,Terapkan ke Grup,グループ適用,สมัครเป็นกลุ่ม,Áp dụng cho nhóm,套用群組,Gruba Başvur
GuardBoard,Security Mode,modo de seguridad,Mode sécurité,mode aman,セキュリティモード,โหมดความปลอดภัย,Chế độ bảo mật,保全模式,Güvenlik Modu
Hide,Hide,Esconder,Cacher,Bersembunyi,隠れる,ซ่อน,Trốn,隱藏,Saklamak
HighTemperatureOnly,Over Temperature Only,Solo temperatura alta,Sur la température seulement,Hanya Suhu Berlebihan,温度異常時のみ,อุณหภูมิสูงกว่าเท่านั้น,Chỉ quá nhiệt độ,僅有溫度異常時,Sadece Aşırı Sıcaklık
HighTemperatureThreshold,High Temperature Threshold,Umbral de alta temperatura,Seuil de température élevée,Ambang Batas Suhu Tinggi,温度閾値,เกณฑ์อุณหภูมิสูง,Ngưỡng nhiệt độ cao,體溫過高閾值,Yüksek Sıcaklık Eşiği
HoldingTime,Hold time (ms),Tiempo de retención (MS),Hold Time (MS),Waktu tunggu (ms),ホールド時間 (ミリ秒),ค้างไว้เวลา (MS),Thời gian giữ (ms),維持時間（毫秒）,Tutma süresi (ms)
Holidays,Holidays,Días festivos,Vacances,Liburan,休日,วันหยุด,Ngày lễ,假日,Tatiller
HostAddress,Host Address,Dirección del servidor,Adresse de l'hôte,Alamat Host,ホストアドレス,ที่อยู่โฮสต์,Địa chỉ máy chủ,主機位址,Ana Bilgisayar Adresi
HostName,Host Name,Nombre de host,Nom d'hôte,Nama Host,ホスト名,ชื่อโฮสต์,Tên máy chủ,主機名稱,Ana Bilgisayar Adı
HourlyNumberOfAdmission,Present,Presente,Présent,Hadir,滞在人数,ปัจจุบัน,Hiện tại,場內人數,Sunmak
HourlyNumberOfEntry,Number of people entering,Número de personas que ingresan,Nombre de personnes entrant,Jumlah orang yang masuk,入場人数,จำนวนคนที่เข้ามา,Số người vào,進場人數,Giren kişi sayısı
HourlyNumberOfLeave,Number of people leaving,Número de personas que se van,Nombre de personnes quittent,Jumlah orang yang keluar,退出者数,จำนวนคนออกไป,Số người ra,離場人數,Ayrılan kişi sayısı
HttpCommand,HTTP Command,Comando HTTP,Commande http,Perintah HTTP,HTTP コマンド,คำสั่ง http,Lệnh HTTP,HTTP 命令,HTTP Komutu
HttpEnabledSSL,Enable SSL,Habilitar SSL,Activer SSL,Aktifkan SSL,Http SSL有効,เปิดใช้งาน SSL,Kích hoạt SSL,啟用 SSL,SSL'yi etkinleştir
HttpNotify,HTTP Command,Comando http,Commande http,Perintah HTTP,HTTPコマンド,คำสั่ง http,Lệnh HTTP,HTTP 指令,HTTP Komutu
HttpNotifyManagement,HTTP Commands,Comandos HTTP,Commandes HTTP,Perintah HTTP,HTTPコマンド,คำสั่ง http,Lệnh HTTP,HTTP 指令,HTTP Komutları
HttpUrl,URL,Url,URL,URL,URL,url,URL,URL,URL
I/OBoxesBasicCOlNameBrand,Brand,Marca,Marque,Merek,ブランド,ยี่ห้อ,Thương hiệu,品牌,Marka
I/OBoxesBasicCOlNameDefaultValue,Default value,Valor por defecto,Valeur par défaut,Nilai Default,デフォルト値,ค่าเริ่มต้น,Giá trị mặc định,默認值,Varsayılan değer
I/OBoxesBasicCOlNameDeviceGroups,Device groups,Grupos de dispositivos,Groupes d'appareils,Grup perangkat,デバイスグループ,กลุ่มอุปกรณ์,Nhóm thiết bị,設備組,Aygıt grupları
I/OBoxesBasicCOlNameDeviceName,Device name,Nombre del dispositivo,Nom de l'appareil,Nama perangkat,デバイス名,ชื่ออุปกรณ์,Tên thiết bị,設備名稱,Cihaz adı
I/OBoxesBasicCOlNameDurationWhenTriggered,Duration when triggered (seconds),Duración cuando se activa (segundos),Durée lorsqu'elle est déclenchée (secondes),Durasi saat ditrigger (detik),トリガーされた時間（秒）,ระยะเวลาเมื่อทริกเกอร์ (วินาที),Thời lượng khi được kích hoạt (giây),觸發時的持續時間 (秒),Tetiklendiğinde süre (saniye)
I/OBoxesBasicCOlNameEnable,Enable,Permitir,Activer,Aktifkan,有効,เปิดใช้งาน,Bật,啟用,Olanak vermek
I/OBoxesBasicCOlNameIP,IP address,dirección IP,adresse IP,alamat IP,IPアドレス,ที่อยู่ IP,Địa chỉ IP,IP 位址,IP adresi
I/OBoxesBasicCOlNameModel,Model,Modelo,Modèle,Model,モデル,แบบอย่าง,Mẫu,模型,Örnek
I/OBoxesBasicCOlNamePassword,Password,Contraseña,Mot de passe,Kata sandi,パスワード,รหัสผ่าน,Mật khẩu,密碼,Şifre
I/OBoxesBasicCOlNamePort,Port,Puerto,Port,Port,ポート,ท่าเรือ,Cổng,埠,Liman
I/OBoxesBasicCOlNameUserName,Username,Nombre de usuario,Nom d'utilisateur,Nama pengguna,ユーザー名,ชื่อผู้ใช้,Tên tài khoản,帳號,Kullanıcı adı
I/OBoxesBasicCOlNameValueWhenTriggered,Value when triggered,Valor cuando se activa,Valeur lorsqu'elle est déclenchée,Nilai saat ditrigger,トリガーされたときの値,ค่าเมื่อถูกทริกเกอร์,Giá trị khi được kích hoạt,觸發時的值,Tetiklendiğinde değer
I/OBoxesBasicName,Basic settings,Ajustes básicos,Paramètres de base,Pengaturan dasar,基本設定,การตั้งค่าพื้นฐาน,Cài đặt cơ bản,基本設定,Temel ayarlar
I/OBoxesBasicTitleNameConnection,Connection,Conexión,Connexion,Koneksi,接続,การเชื่อมต่อ,Sự liên quan,連線,Bağlantı
I/OBoxesBasicTitleNameDigitalOutPut1,Digital output #1,Salida digital #1,Sortie numérique # 1,Output digital #1,デジタル出力＃1,เอาต์พุตดิจิตอล #1,Đầu ra kỹ thuật số số 1,輸出 #1,Dijital çıkış #1
I/OBoxesBasicTitleNameDigitalOutPut2,Digital output #2,Salida digital #2,Sortie numérique # 2,Output digital #2,デジタル出力＃2,เอาต์พุตดิจิตอล #2,Đầu ra kỹ thuật số số 2,輸出 #2,Dijital çıkış #2
IOboxes,I/O boxes,Cajas de E/S,Boîtes d'E / S,Boks I/O,I/Oボックス,กล่อง I/O,Hộp vào/ra,輸入/輸出接點裝置,G/Ç kutuları
Identified,Identified,Identificado,Identifié,Diidentifikasi,認識する,ระบุ,Xác định,辨識為,Tanımlanmış
IdleTime,Auto return home page (seconds),Página de inicio de regreso automático (segundos),Page d'accueil de retour automatique (secondes),Halaman beranda kembali otomatis (detik),最初のページに自動的に戻る,หน้าแรกกลับอัตโนมัติ (วินาที),Tự động quay lại trang chủ (giây),自動回主頁 (秒),Ana sayfaya otomatik dönüş (saniye)
ImageHaveClearFace,Contains a clear frontal face,Contiene una cara frontal clara,Contient une face frontale claire,Berisi wajah depan yang jelas,正面顔の写真が必要,มีใบหน้าหน้าผากที่ชัดเจน,Có mặt trước rõ ràng,影像含清楚的正臉,Net bir ön yüz içerir
ImageMaximumFileSize,Maximum file size: 10MB,Tamaño máximo del archivo: 10 MB,Taille maximale du fichier: 10 Mo,Ukuran file maksimum: 10MB,最大ファイルサイズ：10MB,ขนาดไฟล์สูงสุด: 10MB,Kích thước tệp tối đa: 10MB,最大檔案大小: 10MB,Maksimum dosya boyutu: 10MB
Import,Import,Importar,Importer,Impor,インポート,นำเข้า,Nhập khẩu,匯入,İçe aktarmak
ImportFailure,Import Failure:,Falla de importación:,Échec d'importation:,Import Gagal:,インポート失敗:,ความล้มเหลวในการนำเข้า:,Thất bại khi nhập:,匯入失敗的資料 :,İthalat Hatası:
IndicationSettings,Result Prompts,Indicaciones de resultados,Invites de résultat,Hasil Langsung,結果報告,พรอมต์ผลลัพธ์,Lời nhắc kết quả,結果提示,Sonuç İstemleri
Info,Info,Información,Info,Informasi,情報,ข้อมูล,Thông tin,資訊,Bilgi
InputAccessControlInfo,Access Control Info,Información de control de acceso,Informations sur le contrôle d'accès,Info Akses Kontrol,アクセスコントロール情報,ข้อมูลการควบคุมการเข้าถึง,Thông tin kiểm soát truy cập,輸入門禁資訊,Erişim Kontrol Bilgileri
InputEventControlInfo,Input Event Control Info,Información de control de eventos de entrada,Informations sur le contrôle des événements d'entrée,Masukkan Info Kontrol Event,イベント情報,ข้อมูลการควบคุมเหตุการณ์อินพุต,Nhập thông tin kiểm soát sự kiện,輸入事件資訊,Giriş Olay Kontrol Bilgileri
InputEventControlNotify,Input Event Control Notify,Notificar el control de eventos de entrada,Contrôle des événements d'entrée Rentifier,Masukkan Notifikasi Kontrol Event,イベント通知,การควบคุมเหตุการณ์อินพุตแจ้งเตือน,Kiểm soát sự kiện đầu vào Thông báo,輸入通知資訊,Giriş Olay Kontrol Bildirimi
InputGroupInfo,Input Group Info,Información del grupo de entrada,Informations sur le groupe d'entrée,Masukkan Info Grup,グループ情報,ข้อมูลกลุ่มอินพุต,Thông tin nhóm đầu vào,輸入群組資訊,Giriş Grubu Bilgisi
InputPersonInfo,Input Person Info,Información de la persona de entrada,Informations sur la personne d'entrée,Masukkan Info Orang,パーソン情報,ข้อมูลบุคคลป้อนข้อมูล,Nhập thông tin người,輸入人員資訊,Kişi Bilgilerini Girin
